35 input:2 previoustx:14 outputindex:2 value1:185.1851851851852 output1:4 value2:185.1851851851852 output2:5 value3:185.1851851851852 output3:2
379 input:2 previoustx:129 outputindex:1 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
387 input:2 previoustx:131 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
389 input:2 previoustx:132 outputindex:2 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
393 input:2 previoustx:133 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
397 input:2 previoustx:135 outputindex:1 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
401 input:2 previoustx:136 outputindex:2 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
403 input:2 previoustx:137 outputindex:1 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
408 input:2 previoustx:138 outputindex:3 value1:16.460905349794235 output1:4 value2:16.460905349794235 output2:5 value3:16.460905349794235 output3:2
410 input:2 previoustx:139 outputindex:2 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
412 input:2 previoustx:140 outputindex:1 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
417 input:2 previoustx:141 outputindex:3 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
418 input:2 previoustx:142 outputindex:1 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
429 input:2 previoustx:145 outputindex:3 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
433 input:2 previoustx:147 outputindex:1 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
436 input:2 previoustx:148 outputindex:1 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
450 input:2 previoustx:152 outputindex:3 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
452 input:2 previoustx:153 outputindex:2 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
458 input:2 previoustx:155 outputindex:2 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
465 input:2 previoustx:157 outputindex:3 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
469 input:2 previoustx:159 outputindex:1 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
476 input:2 previoustx:161 outputindex:2 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
481 input:2 previoustx:163 outputindex:1 value1:20.74074074074074 output1:4 value2:20.74074074074074 output2:5 value3:20.74074074074074 output3:2
490 input:2 previoustx:166 outputindex:1 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
504 input:2 previoustx:170 outputindex:3 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
506 input:2 previoustx:171 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
512 input:2 previoustx:173 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
522 input:2 previoustx:176 outputindex:3 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
524 input:2 previoustx:177 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
528 input:2 previoustx:178 outputindex:3 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
532 input:2 previoustx:180 outputindex:1 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
536 input:2 previoustx:181 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
538 input:2 previoustx:182 outputindex:1 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
543 input:2 previoustx:183 outputindex:3 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
548 input:2 previoustx:185 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
554 input:2 previoustx:187 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
556 input:2 previoustx:188 outputindex:1 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
561 input:2 previoustx:189 outputindex:3 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
567 input:2 previoustx:191 outputindex:3 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
569 input:2 previoustx:192 outputindex:2 value1:24.691358024691354 output1:4 value2:24.691358024691354 output2:5 value3:24.691358024691354 output3:2
576 input:2 previoustx:194 outputindex:3 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
578 input:2 previoustx:195 outputindex:2 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
582 input:2 previoustx:196 outputindex:3 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
586 input:2 previoustx:198 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
590 input:2 previoustx:199 outputindex:2 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
592 input:2 previoustx:200 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
597 input:2 previoustx:201 outputindex:3 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
600 input:2 previoustx:202 outputindex:3 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
604 input:2 previoustx:204 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
611 input:2 previoustx:206 outputindex:2 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
616 input:2 previoustx:208 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
626 input:2 previoustx:211 outputindex:2 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
628 input:2 previoustx:212 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
633 input:2 previoustx:213 outputindex:3 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
634 input:2 previoustx:214 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
645 input:2 previoustx:217 outputindex:3 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
649 input:2 previoustx:219 outputindex:1 value1:28.80658436213992 output1:4 value2:28.80658436213992 output2:5 value3:28.80658436213992 output3:2
654 input:2 previoustx:220 outputindex:3 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
658 input:2 previoustx:222 outputindex:1 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
665 input:2 previoustx:224 outputindex:2 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
670 input:2 previoustx:226 outputindex:1 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
683 input:2 previoustx:230 outputindex:2 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
689 input:2 previoustx:232 outputindex:2 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
691 input:2 previoustx:233 outputindex:1 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
696 input:2 previoustx:234 outputindex:3 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
702 input:2 previoustx:236 outputindex:3 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
704 input:2 previoustx:237 outputindex:2 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
706 input:2 previoustx:238 outputindex:1 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
720 input:2 previoustx:242 outputindex:3 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
722 input:2 previoustx:243 outputindex:2 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
728 input:2 previoustx:245 outputindex:2 value1:32.92181069958847 output1:4 value2:32.92181069958847 output2:5 value3:32.92181069958847 output3:2
