31 input:5 previoustx:13 outputindex:1 value1:185.1851851851852 output1:2 value2:185.1851851851852 output2:3 value3:185.1851851851852 output3:5
140 input:5 previoustx:49 outputindex:2 value1:62.22222222222222 output1:2 value2:62.22222222222222 output2:3 value3:62.22222222222222 output3:5
142 input:5 previoustx:50 outputindex:1 value1:62.22222222222222 output1:2 value2:62.22222222222222 output2:3 value3:62.22222222222222 output3:5
147 input:5 previoustx:51 outputindex:3 value1:62.22222222222222 output1:2 value2:62.22222222222222 output2:3 value3:62.22222222222222 output3:5
148 input:5 previoustx:52 outputindex:1 value1:62.22222222222222 output1:2 value2:62.22222222222222 output2:3 value3:62.22222222222222 output3:5
159 input:5 previoustx:55 outputindex:3 value1:62.22222222222222 output1:2 value2:62.22222222222222 output2:3 value3:62.22222222222222 output3:5
163 input:5 previoustx:57 outputindex:1 value1:62.22222222222222 output1:2 value2:62.22222222222222 output2:3 value3:62.22222222222222 output3:5
166 input:5 previoustx:58 outputindex:1 value1:74.07407407407406 output1:2 value2:74.07407407407406 output2:3 value3:74.07407407407406 output3:5
180 input:5 previoustx:62 outputindex:3 value1:74.07407407407406 output1:2 value2:74.07407407407406 output2:3 value3:74.07407407407406 output3:5
182 input:5 previoustx:63 outputindex:2 value1:74.07407407407406 output1:2 value2:74.07407407407406 output2:3 value3:74.07407407407406 output3:5
188 input:5 previoustx:65 outputindex:2 value1:74.07407407407406 output1:2 value2:74.07407407407406 output2:3 value3:74.07407407407406 output3:5
198 input:5 previoustx:68 outputindex:3 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
200 input:5 previoustx:69 outputindex:2 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
204 input:5 previoustx:70 outputindex:3 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
208 input:5 previoustx:72 outputindex:1 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
212 input:5 previoustx:73 outputindex:2 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
214 input:5 previoustx:74 outputindex:1 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
219 input:5 previoustx:75 outputindex:3 value1:86.41975308641976 output1:2 value2:86.41975308641976 output2:3 value3:86.41975308641976 output3:5
222 input:5 previoustx:76 outputindex:3 value1:98.76543209876542 output1:2 value2:98.76543209876542 output2:3 value3:98.76543209876542 output3:5
226 input:5 previoustx:78 outputindex:1 value1:98.76543209876542 output1:2 value2:98.76543209876542 output2:3 value3:98.76543209876542 output3:5
233 input:5 previoustx:80 outputindex:2 value1:98.76543209876542 output1:2 value2:98.76543209876542 output2:3 value3:98.76543209876542 output3:5
238 input:5 previoustx:82 outputindex:1 value1:98.76543209876542 output1:2 value2:98.76543209876542 output2:3 value3:98.76543209876542 output3:5
248 input:5 previoustx:85 outputindex:2 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
250 input:5 previoustx:86 outputindex:1 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
255 input:5 previoustx:87 outputindex:3 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
256 input:5 previoustx:88 outputindex:1 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
267 input:5 previoustx:91 outputindex:3 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
271 input:5 previoustx:93 outputindex:1 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
274 input:5 previoustx:94 outputindex:1 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
288 input:5 previoustx:98 outputindex:3 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
290 input:5 previoustx:99 outputindex:2 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
296 input:5 previoustx:101 outputindex:2 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
303 input:5 previoustx:103 outputindex:3 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
307 input:5 previoustx:105 outputindex:1 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
314 input:5 previoustx:107 outputindex:2 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
319 input:5 previoustx:109 outputindex:1 value1:20.5761316872428 output1:2 value2:20.5761316872428 output2:3 value3:20.5761316872428 output3:5
328 input:5 previoustx:112 outputindex:1 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
342 input:5 previoustx:116 outputindex:3 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
344 input:5 previoustx:117 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
350 input:5 previoustx:119 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
360 input:5 previoustx:122 outputindex:3 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
362 input:5 previoustx:123 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
366 input:5 previoustx:124 outputindex:3 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
370 input:5 previoustx:126 outputindex:1 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
374 input:5 previoustx:127 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
376 input:5 previoustx:128 outputindex:1 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
381 input:5 previoustx:129 outputindex:3 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
386 input:5 previoustx:131 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
392 input:5 previoustx:133 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
394 input:5 previoustx:134 outputindex:1 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
399 input:5 previoustx:135 outputindex:3 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
405 input:5 previoustx:137 outputindex:3 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
407 input:5 previoustx:138 outputindex:2 value1:16.460905349794235 output1:2 value2:16.460905349794235 output2:3 value3:16.460905349794235 output3:5
414 input:5 previoustx:140 outputindex:3 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
416 input:5 previoustx:141 outputindex:2 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
420 input:5 previoustx:142 outputindex:3 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
424 input:5 previoustx:144 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
428 input:5 previoustx:145 outputindex:2 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
430 input:5 previoustx:146 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
435 input:5 previoustx:147 outputindex:3 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
438 input:5 previoustx:148 outputindex:3 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
442 input:5 previoustx:150 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
449 input:5 previoustx:152 outputindex:2 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
454 input:5 previoustx:154 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
464 input:5 previoustx:157 outputindex:2 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
466 input:5 previoustx:158 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
471 input:5 previoustx:159 outputindex:3 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
472 input:5 previoustx:160 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
483 input:5 previoustx:163 outputindex:3 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
487 input:5 previoustx:165 outputindex:1 value1:20.74074074074074 output1:2 value2:20.74074074074074 output2:3 value3:20.74074074074074 output3:5
492 input:5 previoustx:166 outputindex:3 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
496 input:5 previoustx:168 outputindex:1 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
503 input:5 previoustx:170 outputindex:2 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
508 input:5 previoustx:172 outputindex:1 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
521 input:5 previoustx:176 outputindex:2 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
527 input:5 previoustx:178 outputindex:2 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
529 input:5 previoustx:179 outputindex:1 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
534 input:5 previoustx:180 outputindex:3 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
540 input:5 previoustx:182 outputindex:3 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
542 input:5 previoustx:183 outputindex:2 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
544 input:5 previoustx:184 outputindex:1 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
558 input:5 previoustx:188 outputindex:3 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
560 input:5 previoustx:189 outputindex:2 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
566 input:5 previoustx:191 outputindex:2 value1:24.691358024691354 output1:2 value2:24.691358024691354 output2:3 value3:24.691358024691354 output3:5
575 input:5 previoustx:194 outputindex:2 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
581 input:5 previoustx:196 outputindex:2 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
583 input:5 previoustx:197 outputindex:1 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
588 input:5 previoustx:198 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
594 input:5 previoustx:200 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
596 input:5 previoustx:201 outputindex:2 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
599 input:5 previoustx:202 outputindex:2 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
601 input:5 previoustx:203 outputindex:1 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
606 input:5 previoustx:204 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
607 input:5 previoustx:205 outputindex:1 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
618 input:5 previoustx:208 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
622 input:5 previoustx:210 outputindex:1 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
630 input:5 previoustx:212 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
632 input:5 previoustx:213 outputindex:2 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
636 input:5 previoustx:214 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
640 input:5 previoustx:216 outputindex:1 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
644 input:5 previoustx:217 outputindex:2 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
646 input:5 previoustx:218 outputindex:1 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
651 input:5 previoustx:219 outputindex:3 value1:28.80658436213992 output1:2 value2:28.80658436213992 output2:3 value3:28.80658436213992 output3:5
653 input:5 previoustx:220 outputindex:2 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
655 input:5 previoustx:221 outputindex:1 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
660 input:5 previoustx:222 outputindex:3 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
661 input:5 previoustx:223 outputindex:1 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
672 input:5 previoustx:226 outputindex:3 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
676 input:5 previoustx:228 outputindex:1 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
679 input:5 previoustx:229 outputindex:1 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
693 input:5 previoustx:233 outputindex:3 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
695 input:5 previoustx:234 outputindex:2 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
701 input:5 previoustx:236 outputindex:2 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
708 input:5 previoustx:238 outputindex:3 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
712 input:5 previoustx:240 outputindex:1 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
719 input:5 previoustx:242 outputindex:2 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
724 input:5 previoustx:244 outputindex:1 value1:32.92181069958847 output1:2 value2:32.92181069958847 output2:3 value3:32.92181069958847 output3:5
